Neutral	நாளைக்கு அரிசிக்கு இந்த நிலமை வந்தா 🙂
Anger	மானம் கேட்ட அன்புமணி
Neutral	தவறு இஸ்ரேல் இருக்காது இதை நான் கூறவில்லை ஹமாஸ் நிறுவனர் யாசின் மாலிக் கூறியது
Joy	கொங்கு நாட்டு சிங்கம் உன்மையும் நேர்மையும் உலைப்பும்  இருந்தால் எல்லாம் நம்மை தேடி வரும் வாழ்த்துக்கள் ஐயா இது அவருடைய தனிப்பட்ட வாழ்க்கை நன்றி
Neutral	இவர் யார்? ஒவ்வொரு வார்த்தையும் முன்னுக்கு பின் முரணாக உள்ளது
Disguist	தினமும் ஸ்டாலின் செருப்ப தொடைத்து கொடுக்குற வன் தான் இந்த ராசா
Trust	உண்மையை உணர வைத்த உத்தமர்!
Disguist	அட முட்டா கூ எத்தனை கிராமத்தில் டா இருக்கு வெண்ணை எல்லாமே மாநகரில் மட்டும் தான்டா இருக்கு மாநகரில் மட்டுமே அடித்தட்டு மக்களிடம் பண புழுக்கம் அதிகமா இருக்கு அந்த பணத்தை டாஸ்மாக் மூலமா பணம் பெறுவதே இதுல 80% குடிகார மக்கள் இதே கிராமத்தில் வைத்தால் டாஸ்மாக் வருமானம் வராது இதுதாண்டா அவர்களின் எண்ணம் இந்த மயிரு தெரியாம குற்றவாளி நம்பர் 1 பாராட்டி கிட்டு இருக்க
Joy	அருமை நண்பா ...தமிழன் என்பதே பெருமை ..
Neutral	உன்மை... அனைத்து கட்சிகளிலும் வாரிசு அரசியல் ஆட்கொண்டுள்ளது
Neutral	தமிழ் சினிமாவில் கஞ்சா கருப்பு போன்று இவரும் ஒரு வலம் வருவார்
Anticipation	காவல் துறையினரை அனைவரும் கடவுளாக பார்க்க வேண்டும்....
Neutral	@உலகப் பொதுமறை  வாழ்த்துக்கள் நண்பா கொரொனாவை ஒரு நெருக்கம் நிறைந்த மக்கள் கட்டு படுத்தி இருக்கிறார்கள் என்பது எங்களுக்கு மகிழ்ச்சி ஏனென்றால் சென்னை இங்கே கதருது நண்பா
Trust	நமது குரு அவர்களிடம் கேட்டு கொடுக்கப்படும் ..நன்றி 🙏🙏🙏
Trust	அருமை. தலைசிறந்த முதல்வர். இன்றைய இந்தியாவிற்கு நீங்கள் ஒரு முன்னோடி.
Joy	மீண்டும் பெட்டி ஒலி சூப்பர்
Joy	நல்ல விஷயம் வாழ்த்துக்கள்
Anger	டேய் சும்மா இருடா நாங்களே லோன எப்படி கட்டுறது தெரியலநீ வேற
Ambiguous	நண்பா  அடுத்து சூரத்  போவீங்களா. போறதா இருந்தா உங்களோட நானும் வரலாமா
Joy	நம்முடைய வாக்காளர்கள் கல்விக்கூடங்களில் இருக்கிறார்கள்.. சோர்வடைய வேண்டாம் தோழர்களே.. வெல்வான் விவசாயி.. 💪
Neutral	எங்கடா?  நாம்மேல்லாம் இந்தியன் என்று சொல்லுகிறீர்கள் சகமனிதனின் துன்பத்தில் பங்கெடுக்கவில்லை என்றாலும் பரவாயில்லை
Neutral	இந்த வாரிசு அரசியல் எப்பதான் முடிவுக்கு வரும்னு தெரியில
Neutral	அது வேற வாயி.
Trust	சோழவம்சமே உங்கள் உரிமைகளை எந்த காலங்களிலும் இழந்து விடாதீர்கள் வெல்க தழிழா🙏🙏🙏
Love	அம்மா பண்ணாரி அம்மா
Surprise	ஐயோ நான் தமிழ்நாட்டில் தான் இருக்கேனா நம்ப முடியலையே 👌👌👌👌👌👌👌👌👌
Neutral	நீங்கள் சொன்னது உண்மைதான் எங்களுக்கு இப்பொழுது பணம் கஷ்டமே இல்லை
Neutral	மிகவும் மகிழ்ச்சியாக இருங்கள் ஐயா மிகவும் நன்றி ஐயா
Disguist	மோகன் சி லாசரஸ் அவர்கள் மெளனமாக இருக்கிறாராம். நாங்கள் எல்லாம் முட்டாள்கள் இல்லை.  இதுவரை வழக்குக்கு எத்தனை கோடி செலவு செய்தார்
Anger	எம்மா மது வாந்தி போதும் நீ பேசுனது உங்களுக்கு தான் மூளை அதிகம் உங்க பள்ளி நிர்வாகத்தை காப்பாற்ற நினைக்க வேண்டாம் கேளம்புங்கள்
Love	சரியான வெங்காயம் இவன் அண்ணன் சீமான் சிங்கம் டா
Anger	இவங்களை வெட்டணும்! மானத்தமிழன் ஆட்சி வந்தா எல்லாம் சரிவரும்.
Neutral	நீங்கள்  அத்தனை பேரும் உத்தமர் தான் 🤩
Anger	ஒரு வருஷம் மேலே ஆச்சு கொரோனா வந்து.. இவ்ளோ நாள் எங்கடா ஊம்பிட்டு இருந்தீங்க அடிமைகளே
Joy	சூப்பர் அண்ணா 💐💐💐💐💐
Ambiguous	நன்றி. விஜய் சேதுபதி அவர்கள் தமிழரா என்று தெரியவில்லை?
